data_num,Embedding,Model,Metric,Cluster Number,Value
0,Banksy_emb_seed1,Banksy,ARI,6,0.3835901050407125
0,Banksy_emb_seed1,Banksy,ARI,8,0.5036726969504289
0,Banksy_emb_seed1,Banksy,ARI,10,0.5343596734233713
0,Banksy_emb_seed1,Banksy,Completeness,6,0.5983600562539264
0,Banksy_emb_seed1,Banksy,Completeness,8,0.5946745393847019
0,Banksy_emb_seed1,Banksy,Completeness,10,0.6004618314181202
0,Banksy_emb_seed1,Banksy,Homogeneity,6,0.5006487475268558
0,Banksy_emb_seed1,Banksy,Homogeneity,8,0.6223083589627156
0,Banksy_emb_seed1,Banksy,Homogeneity,10,0.6771409799277361
0,Banksy_emb_seed1,Banksy,NMI,6,0.5451607151881955
0,Banksy_emb_seed1,Banksy,NMI,8,0.6081777109997759
0,Banksy_emb_seed1,Banksy,NMI,10,0.6365003298092984
0,Banksy_emb_seed2,Banksy,ARI,6,0.3835901050407125
0,Banksy_emb_seed2,Banksy,ARI,8,0.4237639767818547
0,Banksy_emb_seed2,Banksy,ARI,10,0.5343596734233713
0,Banksy_emb_seed2,Banksy,Completeness,6,0.5983600562539264
0,Banksy_emb_seed2,Banksy,Completeness,8,0.5696039097072829
0,Banksy_emb_seed2,Banksy,Completeness,10,0.6004618314181202
0,Banksy_emb_seed2,Banksy,Homogeneity,6,0.5006487475268558
0,Banksy_emb_seed2,Banksy,Homogeneity,8,0.5839523509683374
0,Banksy_emb_seed2,Banksy,Homogeneity,10,0.6771409799277361
0,Banksy_emb_seed2,Banksy,NMI,6,0.5451607151881955
0,Banksy_emb_seed2,Banksy,NMI,8,0.5766888942191916
0,Banksy_emb_seed2,Banksy,NMI,10,0.6365003298092984
0,Banksy_emb_seed3,Banksy,ARI,6,0.3844989267830972
0,Banksy_emb_seed3,Banksy,ARI,8,0.5178801810099419
0,Banksy_emb_seed3,Banksy,ARI,10,0.5324680099391391
0,Banksy_emb_seed3,Banksy,Completeness,6,0.5998799772374066
0,Banksy_emb_seed3,Banksy,Completeness,8,0.5895531511284147
