use_rep,CAS,method,seed,sample
Banksy_emb_seed1,0.9255256611275372,Banksy,seed1,3
Banksy_emb_seed1,0.9244688646216526,Banksy,seed1,2
Banksy_emb_seed1,0.925047473228725,Banksy,seed1,4
Banksy_emb_seed1,0.9123562753807322,Banksy,seed1,1
Banksy_emb_seed1,0.9378225355018228,Banksy,seed1,5
Banksy_emb_seed2,0.9101621535576055,Banksy,seed2,4
Banksy_emb_seed2,0.9396857757541364,Banksy,seed2,5
Banksy_emb_seed2,0.9214014415274384,Banksy,seed2,3
Banksy_emb_seed2,0.9276245814409548,Banksy,seed2,1
Banksy_emb_seed2,0.9143077616621432,Banksy,seed2,2
Banksy_emb_seed3,0.9181707254183308,Banksy,seed3,4
Banksy_emb_seed3,0.9350545326753136,Banksy,seed3,5
Banksy_emb_seed3,0.9250553020747884,Banksy,seed3,3
Banksy_emb_seed3,0.917124529982114,Banksy,seed3,1
Banksy_emb_seed3,0.9089265356266022,Banksy,seed3,2
Banksy_emb_seed4,0.935912776395862,Banksy,seed4,5
Banksy_emb_seed4,0.9226879638100928,Banksy,seed4,4
Banksy_emb_seed4,0.914710462794352,Banksy,seed4,3
Banksy_emb_seed4,0.9170314819534768,Banksy,seed4,2
Banksy_emb_seed4,0.9240127686504794,Banksy,seed4,1
Banksy_emb_seed5,0.9344069537559484,Banksy,seed5,5
Banksy_emb_seed5,0.9007270157972224,Banksy,seed5,2
Banksy_emb_seed5,0.9214524778626608,Banksy,seed5,3
Banksy_emb_seed5,0.9204606495218278,Banksy,seed5,4
Banksy_emb_seed5,0.9185563763824058,Banksy,seed5,1
GraphST_emb_seed1,0.6609123278316844,GraphST,seed1,4
GraphST_emb_seed1,0.7546784058652916,GraphST,seed1,5
GraphST_emb_seed1,0.6222051623480285,GraphST,seed1,3
GraphST_emb_seed1,0.4503991674477469,GraphST,seed1,1
GraphST_emb_seed1,0.5152182389060479,GraphST,seed1,2
GraphST_emb_seed2,0.4740672443590847,GraphST,seed2,2
GraphST_emb_seed2,0.6562385515820868,GraphST,seed2,3
GraphST_emb_seed2,0.432381266625148,GraphST,seed2,1
GraphST_emb_seed2,0.7253731095484796,GraphST,seed2,4
GraphST_emb_seed2,0.795004416352619,GraphST,seed2,5
GraphST_emb_seed3,0.6419410419197239,GraphST,seed3,3
GraphST_emb_seed3,0.7429293327008668,GraphST,seed3,4
GraphST_emb_seed3,0.4238471128653669,GraphST,seed3,1
GraphST_emb_seed3,0.5845912532570181,GraphST,seed3,2
GraphST_emb_seed3,0.7624419273393939,GraphST,seed3,5
GraphST_emb_seed4,0.5593773350776179,GraphST,seed4,2
GraphST_emb_seed4,0.7375810887973445,GraphST,seed4,4
GraphST_emb_seed4,0.748166304380714,GraphST,seed4,5
GraphST_emb_seed4,0.4689075714499029,GraphST,seed4,1
GraphST_emb_seed4,0.6413599204794558,GraphST,seed4,3
GraphST_emb_seed5,0.6553319864339131,GraphST,seed5,4
GraphST_emb_seed5,0.7694004167970112,GraphST,seed5,5
GraphST_emb_seed5,0.643154280745479,GraphST,seed5,3
GraphST_emb_seed5,0.4429394993577873,GraphST,seed5,2
GraphST_emb_seed5,0.5228460090558771,GraphST,seed5,1
Our_emb_seed1,0.6339976378466081,Glimmer,seed1,1
Our_emb_seed1,0.4903369582798189,Glimmer,seed1,2
Our_emb_seed1,0.906631646825656,Glimmer,seed1,3
Our_emb_seed1,0.8854250362748629,Glimmer,seed1,5
Our_emb_seed1,0.8995720716228178,Glimmer,seed1,4
Our_emb_seed2,0.9033855667130272,Glimmer,seed2,2
Our_emb_seed2,0.9205503134436284,Glimmer,seed2,3
Our_emb_seed2,0.662145434079618,Glimmer,seed2,1
Our_emb_seed2,0.8803724714173459,Glimmer,seed2,5
Our_emb_seed2,0.9108188901084748,Glimmer,seed2,4
Our_emb_seed3,0.9161426363332612,Glimmer,seed3,3
Our_emb_seed3,0.9200313015408884,Glimmer,seed3,4
