use_rep,MLAMI,method,seed,sample
Banksy_emb_seed1,0.5865263860278136,Banksy,seed1,3
Banksy_emb_seed1,0.6179593093861898,Banksy,seed1,2
Banksy_emb_seed1,0.5774519656423783,Banksy,seed1,4
Banksy_emb_seed1,0.6036623574099946,Banksy,seed1,1
Banksy_emb_seed1,0.6269114879093608,Banksy,seed1,5
Banksy_emb_seed2,0.5834691961751468,Banksy,seed2,4
Banksy_emb_seed2,0.6279427866934919,Banksy,seed2,5
Banksy_emb_seed2,0.5819031610513564,Banksy,seed2,3
Banksy_emb_seed2,0.595158521092876,Banksy,seed2,1
Banksy_emb_seed2,0.6094661640202517,Banksy,seed2,2
Banksy_emb_seed3,0.585496943788225,Banksy,seed3,4
Banksy_emb_seed3,0.6316540280504052,Banksy,seed3,5
Banksy_emb_seed3,0.5740466956403039,Banksy,seed3,3
Banksy_emb_seed3,0.593904002132093,Banksy,seed3,1
Banksy_emb_seed3,0.6077618808606728,Banksy,seed3,2
Banksy_emb_seed4,0.630984900590423,Banksy,seed4,5
Banksy_emb_seed4,0.5935493916575256,Banksy,seed4,4
Banksy_emb_seed4,0.5837219040878759,Banksy,seed4,3
Banksy_emb_seed4,0.6016047097896341,Banksy,seed4,2
Banksy_emb_seed4,0.5931741971786262,Banksy,seed4,1
Banksy_emb_seed5,0.6237514333444055,Banksy,seed5,5
Banksy_emb_seed5,0.6124015085706167,Banksy,seed5,2
Banksy_emb_seed5,0.5771136158144883,Banksy,seed5,3
Banksy_emb_seed5,0.5893639358185156,Banksy,seed5,4
Banksy_emb_seed5,0.5934337744567952,Banksy,seed5,1
GraphST_emb_seed1,0.2426052711044863,GraphST,seed1,4
GraphST_emb_seed1,0.2061600104002344,GraphST,seed1,5
GraphST_emb_seed1,0.2702256913350221,GraphST,seed1,3
GraphST_emb_seed1,0.4216092728863677,GraphST,seed1,1
GraphST_emb_seed1,0.4084237670950294,GraphST,seed1,2
GraphST_emb_seed2,0.4128471706093406,GraphST,seed2,2
GraphST_emb_seed2,0.2645486396095399,GraphST,seed2,3
GraphST_emb_seed2,0.4142286877323601,GraphST,seed2,1
GraphST_emb_seed2,0.256416146979314,GraphST,seed2,4
GraphST_emb_seed2,0.202377445213699,GraphST,seed2,5
GraphST_emb_seed3,0.2674207095553951,GraphST,seed3,3
GraphST_emb_seed3,0.2539155035920781,GraphST,seed3,4
GraphST_emb_seed3,0.413816934785894,GraphST,seed3,1
GraphST_emb_seed3,0.4039512000159375,GraphST,seed3,2
GraphST_emb_seed3,0.2075638949897233,GraphST,seed3,5
GraphST_emb_seed4,0.4103797803225231,GraphST,seed4,2
GraphST_emb_seed4,0.2476587885896445,GraphST,seed4,4
GraphST_emb_seed4,0.2018258903316762,GraphST,seed4,5
GraphST_emb_seed4,0.4038268111147475,GraphST,seed4,1
GraphST_emb_seed4,0.2913464227454619,GraphST,seed4,3
GraphST_emb_seed5,0.2441103232863894,GraphST,seed5,4
GraphST_emb_seed5,0.20827013686816,GraphST,seed5,5
GraphST_emb_seed5,0.27914757730217,GraphST,seed5,3
GraphST_emb_seed5,0.412778851633213,GraphST,seed5,2
GraphST_emb_seed5,0.4158674381994549,GraphST,seed5,1
Our_emb_seed1,0.5315678574785265,Glimmer,seed1,1
Our_emb_seed1,0.5345945378385282,Glimmer,seed1,2
Our_emb_seed1,0.7164797848229004,Glimmer,seed1,3
Our_emb_seed1,0.708988087782841,Glimmer,seed1,5
Our_emb_seed1,0.7195972421305444,Glimmer,seed1,4
Our_emb_seed2,0.7271134427234998,Glimmer,seed2,2
Our_emb_seed2,0.7176737602605006,Glimmer,seed2,3
Our_emb_seed2,0.5313906614988922,Glimmer,seed2,1
Our_emb_seed2,0.6990499828242184,Glimmer,seed2,5
Our_emb_seed2,0.7199065000059229,Glimmer,seed2,4
Our_emb_seed3,0.7198109487446398,Glimmer,seed3,3
Our_emb_seed3,0.7170171903372772,Glimmer,seed3,4
Our_emb_seed3,0.5308960277835849,Glimmer,seed3,1
Our_emb_seed3,0.705369341320897,Glimmer,seed3,5
Our_emb_seed3,0.7236110095044652,Glimmer,seed3,2
Our_emb_seed4,0.7210605773799703,Glimmer,seed4,3
Our_emb_seed4,0.5311821046845804,Glimmer,seed4,1
Our_emb_seed4,0.7176310591223883,Glimmer,seed4,2
Our_emb_seed4,0.7042457298962479,Glimmer,seed4,5
Our_emb_seed4,0.7157614579468181,Glimmer,seed4,4
Our_emb_seed5,0.6915506035867615,Glimmer,seed5,5
Our_emb_seed5,0.5295326558300436,Glimmer,seed5,1
Our_emb_seed5,0.7224099022019297,Glimmer,seed5,4
Our_emb_seed5,0.729682345247327,Glimmer,seed5,2
Our_emb_seed5,0.7093406959769814,Glimmer,seed5,3
SCANIT_emb_seed1,0.4808027497705939,SCANIT,seed1,1
SCANIT_emb_seed1,0.4954367423621192,SCANIT,seed1,2
SCANIT_emb_seed1,0.4584704894226865,SCANIT,seed1,3
SCANIT_emb_seed1,0.4629210030145347,SCANIT,seed1,4
SCANIT_emb_seed1,0.4511553931356055,SCANIT,seed1,5
SCANIT_emb_seed2,0.4741632409452274,SCANIT,seed2,5
SCANIT_emb_seed2,0.434270006714242,SCANIT,seed2,3
SCANIT_emb_seed2,0.5189224699376748,SCANIT,seed2,2
SCANIT_emb_seed2,0.4901553537497775,SCANIT,seed2,1
SCANIT_emb_seed2,0.4495379051754875,SCANIT,seed2,4
SCANIT_emb_seed3,0.4948595690287185,SCANIT,seed3,2
SCANIT_emb_seed3,0.4918513394176298,SCANIT,seed3,1
SCANIT_emb_seed3,0.4593021541815085,SCANIT,seed3,5
SCANIT_emb_seed3,0.4270916868478047,SCANIT,seed3,3
SCANIT_emb_seed3,0.44706887318015,SCANIT,seed3,4
SCANIT_emb_seed4,0.4721505205912092,SCANIT,seed4,5
SCANIT_emb_seed4,0.4391767663201674,SCANIT,seed4,3
SCANIT_emb_seed4,0.4687881801559775,SCANIT,seed4,4
SCANIT_emb_seed4,0.5337581544535995,SCANIT,seed4,2
SCANIT_emb_seed4,0.4827182296058035,SCANIT,seed4,1
SCANIT_emb_seed5,0.4738044567057826,SCANIT,seed5,1
SCANIT_emb_seed5,0.458429652137739,SCANIT,seed5,3
SCANIT_emb_seed5,0.5154388006062943,SCANIT,seed5,4
SCANIT_emb_seed5,0.5151778532426816,SCANIT,seed5,2
SCANIT_emb_seed5,0.4447234378690528,SCANIT,seed5,5
SpaceFlow_emb_seed1,0.4084094680104131,SpaceFlow,seed1,4
SpaceFlow_emb_seed1,0.4181761270830984,SpaceFlow,seed1,2
SpaceFlow_emb_seed1,0.4103230152902509,SpaceFlow,seed1,1
SpaceFlow_emb_seed1,0.4046982717092097,SpaceFlow,seed1,5
SpaceFlow_emb_seed1,0.377287725474652,SpaceFlow,seed1,3
SpaceFlow_emb_seed2,0.417024712953935,SpaceFlow,seed2,3
SpaceFlow_emb_seed2,0.4287364717696624,SpaceFlow,seed2,4
SpaceFlow_emb_seed2,0.4351793066559223,SpaceFlow,seed2,1
SpaceFlow_emb_seed2,0.4171160122545767,SpaceFlow,seed2,5
SpaceFlow_emb_seed2,0.4175391399053109,SpaceFlow,seed2,2
SpaceFlow_emb_seed3,0.4317271948856792,SpaceFlow,seed3,2
SpaceFlow_emb_seed3,0.4022974937398604,SpaceFlow,seed3,5
SpaceFlow_emb_seed3,0.4289142814023498,SpaceFlow,seed3,4
SpaceFlow_emb_seed3,0.4219286387551303,SpaceFlow,seed3,1
SpaceFlow_emb_seed3,0.3755933617724887,SpaceFlow,seed3,3
SpaceFlow_emb_seed4,0.3714372355897293,SpaceFlow,seed4,3
SpaceFlow_emb_seed4,0.4180025462227814,SpaceFlow,seed4,5
SpaceFlow_emb_seed4,0.4064167016871314,SpaceFlow,seed4,2
SpaceFlow_emb_seed4,0.4184715150273509,SpaceFlow,seed4,4
SpaceFlow_emb_seed4,0.4040861684534778,SpaceFlow,seed4,1
SpaceFlow_emb_seed5,0.4344301442189749,SpaceFlow,seed5,2
SpaceFlow_emb_seed5,0.4211884876162836,SpaceFlow,seed5,5
SpaceFlow_emb_seed5,0.3971016667027894,SpaceFlow,seed5,3
SpaceFlow_emb_seed5,0.4129559216678635,SpaceFlow,seed5,1
SpaceFlow_emb_seed5,0.4031410568949899,SpaceFlow,seed5,4
SPIN_emb_seed1,0.476866227667883,SPIN,seed1,3
SPIN_emb_seed1,0.4573288094592609,SPIN,seed1,4
SPIN_emb_seed1,0.4833723450380565,SPIN,seed1,1
SPIN_emb_seed1,0.4248881649133834,SPIN,seed1,5
SPIN_emb_seed1,0.5158718149741408,SPIN,seed1,2
SPIN_emb_seed2,0.4175694249103182,SPIN,seed2,5
SPIN_emb_seed2,0.5113619392058731,SPIN,seed2,2
SPIN_emb_seed2,0.4740930226472947,SPIN,seed2,3
SPIN_emb_seed2,0.4397320765713784,SPIN,seed2,4
SPIN_emb_seed2,0.4862040114315752,SPIN,seed2,1
SPIN_emb_seed3,0.4618161739204009,SPIN,seed3,3
SPIN_emb_seed3,0.5132789778785958,SPIN,seed3,2
SPIN_emb_seed3,0.4505470421994941,SPIN,seed3,4
SPIN_emb_seed3,0.4195953045428795,SPIN,seed3,5
SPIN_emb_seed3,0.4883396558341231,SPIN,seed3,1
SPIN_emb_seed4,0.51269215965632,SPIN,seed4,2
SPIN_emb_seed4,0.4530967248596277,SPIN,seed4,4
SPIN_emb_seed4,0.4685844316949984,SPIN,seed4,3
SPIN_emb_seed4,0.4188215625313547,SPIN,seed4,5
SPIN_emb_seed4,0.4849964466885098,SPIN,seed4,1
SPIN_emb_seed5,0.5094232112670851,SPIN,seed5,2
SPIN_emb_seed5,0.4891192063988612,SPIN,seed5,1
SPIN_emb_seed5,0.4134099658559731,SPIN,seed5,5
SPIN_emb_seed5,0.4740308378389117,SPIN,seed5,3
SPIN_emb_seed5,0.4433781629207438,SPIN,seed5,4
