Model,FOV,Metric,Num_Clusters,Dissimilarity_Score
Baysor (NCV),10-11,Cosine Distance,5,0.6700840803094014
Baysor (NCV),10-11,Cosine Distance,6,0.6341048906182193
Baysor (NCV),10-11,Cosine Distance,7,0.6100204806082078
Baysor (NCV),10-11,Jensen-Shannon Divergence,5,0.48869763027139007
Baysor (NCV),10-11,Jensen-Shannon Divergence,6,0.47937175215668104
Baysor (NCV),10-11,Jensen-Shannon Divergence,7,0.46815806287773315
Baysor (NCV),13-14,Cosine Distance,5,0.684128310537724
Baysor (NCV),13-14,Cosine Distance,6,0.6359117271605969
Baysor (NCV),13-14,Cosine Distance,7,0.5923362376560826
Baysor (NCV),13-14,Jensen-Shannon Divergence,5,0.49749524334702533
Baysor (NCV),13-14,Jensen-Shannon Divergence,6,0.4790843646875337
Baysor (NCV),13-14,Jensen-Shannon Divergence,7,0.46034892468544486
Baysor (NCV),15-16,Cosine Distance,5,0.48049591154936433
Baysor (NCV),15-16,Cosine Distance,6,0.4899968471718064
Baysor (NCV),15-16,Cosine Distance,7,0.5594061967419186
Baysor (NCV),15-16,Jensen-Shannon Divergence,5,0.4271052404172829
Baysor (NCV),15-16,Jensen-Shannon Divergence,6,0.44150381069889305
Baysor (NCV),15-16,Jensen-Shannon Divergence,7,0.4643991902362621
Baysor (NCV),17-18,Cosine Distance,5,0.4192871353987092
Baysor (NCV),17-18,Cosine Distance,6,0.5550226331319261
Baysor (NCV),17-18,Cosine Distance,7,0.5406999330522531
Baysor (NCV),17-18,Jensen-Shannon Divergence,5,0.4087443337738768
Baysor (NCV),17-18,Jensen-Shannon Divergence,6,0.46715727738337176
Baysor (NCV),17-18,Jensen-Shannon Divergence,7,0.47069991641886133
Baysor (NCV),21-22,Cosine Distance,5,0.6220052711891142
Baysor (NCV),21-22,Cosine Distance,6,0.5563926008242654
Baysor (NCV),21-22,Cosine Distance,7,0.5196218248961525
Baysor (NCV),21-22,Jensen-Shannon Divergence,5,0.4945770834375606
Baysor (NCV),21-22,Jensen-Shannon Divergence,6,0.4641116283012715
Baysor (NCV),21-22,Jensen-Shannon Divergence,7,0.44549384394407265
Baysor (NCV),23-24,Cosine Distance,5,0.4424738780961544
Baysor (NCV),23-24,Cosine Distance,6,0.5186723604508419
Baysor (NCV),23-24,Cosine Distance,7,0.48901245020777784
Baysor (NCV),23-24,Jensen-Shannon Divergence,5,0.4246945031890005
Baysor (NCV),23-24,Jensen-Shannon Divergence,6,0.43994356545388597
Baysor (NCV),23-24,Jensen-Shannon Divergence,7,0.4269021208643714
Baysor (NCV),27-28,Cosine Distance,5,0.6065853837700391
Baysor (NCV),27-28,Cosine Distance,6,0.5669778184606196
Baysor (NCV),27-28,Cosine Distance,7,0.6162304265782408
Baysor (NCV),27-28,Jensen-Shannon Divergence,5,0.4857642824769264
Baysor (NCV),27-28,Jensen-Shannon Divergence,6,0.46733499375054244
Baysor (NCV),27-28,Jensen-Shannon Divergence,7,0.4813056684451678
