Model,FOV,Cluster_Key,Gene,Gene_Purity
Baysor (NCV),10-11,n_cluster5,CD19,0.9046384842255787
Baysor (NCV),10-11,n_cluster5,CD3E,0.8668161434977578
Baysor (NCV),10-11,n_cluster5,CD79A,0.7813044856554129
Baysor (NCV),10-11,n_cluster5,IL7R,0.8815191407696711
Baysor (NCV),10-11,n_cluster5,MS4A1,0.8752057096332738
Baysor (NCV),10-11,n_cluster5,TRAC,0.8244808364382058
Baysor (NCV),10-11,n_cluster6,CD19,0.9054428456519796
Baysor (NCV),10-11,n_cluster6,CD3E,0.8586162716207559
Baysor (NCV),10-11,n_cluster6,CD79A,0.7841971786336979
Baysor (NCV),10-11,n_cluster6,IL7R,0.8766371502643009
Baysor (NCV),10-11,n_cluster6,MS4A1,0.8782545429348485
Baysor (NCV),10-11,n_cluster6,TRAC,0.8167114345955001
Baysor (NCV),10-11,n_cluster7,CD19,0.8208955223880597
Baysor (NCV),10-11,n_cluster7,CD3E,0.7755285073670724
Baysor (NCV),10-11,n_cluster7,CD79A,0.6403154224124267
Baysor (NCV),10-11,n_cluster7,IL7R,0.8058987912864887
Baysor (NCV),10-11,n_cluster7,MS4A1,0.7371593881545897
Baysor (NCV),10-11,n_cluster7,TRAC,0.7310747191173498
Baysor (NCV),13-14,n_cluster5,CD19,0.8896614821591948
Baysor (NCV),13-14,n_cluster5,CD3E,0.8783550358756311
Baysor (NCV),13-14,n_cluster5,CD79A,0.7252414013247147
Baysor (NCV),13-14,n_cluster5,IL7R,0.8931780112684635
Baysor (NCV),13-14,n_cluster5,MS4A1,0.8400120116112242
Baysor (NCV),13-14,n_cluster5,TRAC,0.849947628310639
Baysor (NCV),13-14,n_cluster6,CD19,0.7149130832570906
Baysor (NCV),13-14,n_cluster6,CD3E,0.8642040924794048
Baysor (NCV),13-14,n_cluster6,CD79A,0.47825393025297264
Baysor (NCV),13-14,n_cluster6,IL7R,0.8801964367291001
Baysor (NCV),13-14,n_cluster6,MS4A1,0.564045243735611
Baysor (NCV),13-14,n_cluster6,TRAC,0.8333383211132724
Baysor (NCV),13-14,n_cluster7,CD19,0.7015553522415371
Baysor (NCV),13-14,n_cluster7,CD3E,0.8072681371246346
Baysor (NCV),13-14,n_cluster7,CD79A,0.46692203335727395
Baysor (NCV),13-14,n_cluster7,IL7R,0.8261001979594944
Baysor (NCV),13-14,n_cluster7,MS4A1,0.5505655466951387
Baysor (NCV),13-14,n_cluster7,TRAC,0.7748017357474188
Baysor (NCV),15-16,n_cluster5,CD19,0.7274442538593482
Baysor (NCV),15-16,n_cluster5,CD3E,0.7424582398404388
Baysor (NCV),15-16,n_cluster5,CD79A,0.6135098829399348
Baysor (NCV),15-16,n_cluster5,IL7R,0.7916840437067312
Baysor (NCV),15-16,n_cluster5,MS4A1,0.5695869120654397
Baysor (NCV),15-16,n_cluster5,TRAC,0.6532492891644684
Baysor (NCV),15-16,n_cluster6,CD19,0.6880789022298456
Baysor (NCV),15-16,n_cluster6,CD3E,0.741627191888972
Baysor (NCV),15-16,n_cluster6,CD79A,0.5277298023412013
Baysor (NCV),15-16,n_cluster6,IL7R,0.7900575527566936
Baysor (NCV),15-16,n_cluster6,MS4A1,0.5282944785276074
Baysor (NCV),15-16,n_cluster6,TRAC,0.6522215751430235
Baysor (NCV),15-16,n_cluster7,CD19,0.6954545454545454
Baysor (NCV),15-16,n_cluster7,CD3E,0.6415690185323694
Baysor (NCV),15-16,n_cluster7,CD79A,0.5362502398771829
Baysor (NCV),15-16,n_cluster7,IL7R,0.697389273500709
Baysor (NCV),15-16,n_cluster7,MS4A1,0.5377014314928426
Baysor (NCV),15-16,n_cluster7,TRAC,0.5545887431057518
Baysor (NCV),17-18,n_cluster5,CD19,0.7050104384133612
Baysor (NCV),17-18,n_cluster5,CD3E,0.6134176205934279
Baysor (NCV),17-18,n_cluster5,CD79A,0.575077694235589
Baysor (NCV),17-18,n_cluster5,IL7R,0.6845512566036583
Baysor (NCV),17-18,n_cluster5,MS4A1,0.5229194187582563
Baysor (NCV),17-18,n_cluster5,TRAC,0.5333364351184107
Baysor (NCV),17-18,n_cluster6,CD19,0.7279749478079331
Baysor (NCV),17-18,n_cluster6,CD3E,0.6039068284070847
Baysor (NCV),17-18,n_cluster6,CD79A,0.6025062656641604
Baysor (NCV),17-18,n_cluster6,IL7R,0.6754511863682169
Baysor (NCV),17-18,n_cluster6,MS4A1,0.5553595017927911
Baysor (NCV),17-18,n_cluster6,TRAC,0.5243567673195925
Baysor (NCV),17-18,n_cluster7,CD19,0.5910229645093946
Baysor (NCV),17-18,n_cluster7,CD3E,0.5971296770886725
Baysor (NCV),17-18,n_cluster7,CD79A,0.4265864661654135
Baysor (NCV),17-18,n_cluster7,IL7R,0.6691910709377958
Baysor (NCV),17-18,n_cluster7,MS4A1,0.40087752406114363
Baysor (NCV),17-18,n_cluster7,TRAC,0.5187735541804308
Baysor (NCV),21-22,n_cluster5,CD19,0.921516933684851
Baysor (NCV),21-22,n_cluster5,CD3E,0.6308731918488016
Baysor (NCV),21-22,n_cluster5,CD79A,0.824918324918325
Baysor (NCV),21-22,n_cluster5,IL7R,0.6565213895143133
Baysor (NCV),21-22,n_cluster5,MS4A1,0.8989839275817476
Baysor (NCV),21-22,n_cluster5,TRAC,0.646177199288132
Baysor (NCV),21-22,n_cluster6,CD19,0.9192861488541878
Baysor (NCV),21-22,n_cluster6,CD3E,0.5253581107239644
Baysor (NCV),21-22,n_cluster6,CD79A,0.8172705672705672
Baysor (NCV),21-22,n_cluster6,IL7R,0.5501970086844644
Baysor (NCV),21-22,n_cluster6,MS4A1,0.8942915204138185
Baysor (NCV),21-22,n_cluster6,TRAC,0.556460899605681
Baysor (NCV),21-22,n_cluster7,CD19,0.8450618535793957
Baysor (NCV),21-22,n_cluster7,CD3E,0.5231408158237426
Baysor (NCV),21-22,n_cluster7,CD79A,0.668918918918919
Baysor (NCV),21-22,n_cluster7,IL7R,0.5479454808620136
Baysor (NCV),21-22,n_cluster7,MS4A1,0.7827452429336782
Baysor (NCV),21-22,n_cluster7,TRAC,0.5546288864849775
Baysor (NCV),23-24,n_cluster5,CD19,0.8037660186557406
Baysor (NCV),23-24,n_cluster5,CD3E,0.525750315258512
Baysor (NCV),23-24,n_cluster5,CD79A,0.6347998929704523
Baysor (NCV),23-24,n_cluster5,IL7R,0.5507365199092673
Baysor (NCV),23-24,n_cluster5,MS4A1,0.6820453734056019
Baysor (NCV),23-24,n_cluster5,TRAC,0.4815526435094234
Baysor (NCV),23-24,n_cluster6,CD19,0.7377735158225089
Baysor (NCV),23-24,n_cluster6,CD3E,0.5285245901639344
Baysor (NCV),23-24,n_cluster6,CD79A,0.5530369634188296
Baysor (NCV),23-24,n_cluster6,IL7R,0.5534694323740811
Baysor (NCV),23-24,n_cluster6,MS4A1,0.5950796793353024
Baysor (NCV),23-24,n_cluster6,TRAC,0.4839921417931392
Baysor (NCV),23-24,n_cluster7,CD19,0.6760526545200941
Baysor (NCV),23-24,n_cluster7,CD3E,0.5018411097099622
Baysor (NCV),23-24,n_cluster7,CD79A,0.48167118993922253
Baysor (NCV),23-24,n_cluster7,IL7R,0.5273974474597579
Baysor (NCV),23-24,n_cluster7,MS4A1,0.5110350199604038
Baysor (NCV),23-24,n_cluster7,TRAC,0.4593596856717256
Baysor (NCV),27-28,n_cluster5,CD19,0.8288856304985337
Baysor (NCV),27-28,n_cluster5,CD3E,0.7101600227251207
Baysor (NCV),27-28,n_cluster5,CD79A,0.6755256921738608
Baysor (NCV),27-28,n_cluster5,IL7R,0.7635859710925763
Baysor (NCV),27-28,n_cluster5,MS4A1,0.7333757944520483
Baysor (NCV),27-28,n_cluster5,TRAC,0.6604950344437925
Baysor (NCV),27-28,n_cluster6,CD19,0.6845307917888563
Baysor (NCV),27-28,n_cluster6,CD3E,0.6635261812328378
Baysor (NCV),27-28,n_cluster6,CD79A,0.5167531571527132
Baysor (NCV),27-28,n_cluster6,IL7R,0.7262342641040253
Baysor (NCV),27-28,n_cluster6,MS4A1,0.5306736411312726
Baysor (NCV),27-28,n_cluster6,TRAC,0.6189886346350262
Baysor (NCV),27-28,n_cluster7,CD19,0.6837976539589443
Baysor (NCV),27-28,n_cluster7,CD3E,0.6595019411040621
Baysor (NCV),27-28,n_cluster7,CD79A,0.515433302336743
Baysor (NCV),27-28,n_cluster7,IL7R,0.7228928145884059
Baysor (NCV),27-28,n_cluster7,MS4A1,0.5293998075698237
Baysor (NCV),27-28,n_cluster7,TRAC,0.6153812721385575
Baysor (NCV),29-30,n_cluster5,CD19,0.698333450530905
Baysor (NCV),29-30,n_cluster5,CD3E,0.5650636889063464
Baysor (NCV),29-30,n_cluster5,CD79A,0.5569794767350775
Baysor (NCV),29-30,n_cluster5,IL7R,0.6091805665872385
Baysor (NCV),29-30,n_cluster5,MS4A1,0.5486271787752584
Baysor (NCV),29-30,n_cluster5,TRAC,0.5089362095674088
Baysor (NCV),29-30,n_cluster6,CD19,0.6318824273961043
Baysor (NCV),29-30,n_cluster6,CD3E,0.5489590932046462
Baysor (NCV),29-30,n_cluster6,CD79A,0.49666301112329625
Baysor (NCV),29-30,n_cluster6,IL7R,0.5948173153296267
Baysor (NCV),29-30,n_cluster6,MS4A1,0.46391845339091986
Baysor (NCV),29-30,n_cluster6,TRAC,0.49621974058403273
Baysor (NCV),29-30,n_cluster7,CD19,0.5453906195063638
Baysor (NCV),29-30,n_cluster7,CD3E,0.539868694237136
Baysor (NCV),29-30,n_cluster7,CD79A,0.40858530471565097
Baysor (NCV),29-30,n_cluster7,IL7R,0.5870399788191687
Baysor (NCV),29-30,n_cluster7,MS4A1,0.3586816802920459
Baysor (NCV),29-30,n_cluster7,TRAC,0.48891355113176577
Baysor (NCV),31-32,n_cluster5,CD19,0.6687781936846147
Baysor (NCV),31-32,n_cluster5,CD3E,0.5849599031623544
Baysor (NCV),31-32,n_cluster5,CD79A,0.4767725116457968
Baysor (NCV),31-32,n_cluster5,IL7R,0.5873167761297899
Baysor (NCV),31-32,n_cluster5,MS4A1,0.49343103007582856
Baysor (NCV),31-32,n_cluster5,TRAC,0.5671556452909751
Baysor (NCV),31-32,n_cluster6,CD19,0.6575487090891641
Baysor (NCV),31-32,n_cluster6,CD3E,0.47208352246936
Baysor (NCV),31-32,n_cluster6,CD79A,0.46548997820419674
Baysor (NCV),31-32,n_cluster6,IL7R,0.4753164281675438
Baysor (NCV),31-32,n_cluster6,MS4A1,0.47996932776689105
Baysor (NCV),31-32,n_cluster6,TRAC,0.4525166616041596
Baysor (NCV),31-32,n_cluster7,CD19,0.5508206161819752
Baysor (NCV),31-32,n_cluster7,CD3E,0.4717809048267514
Baysor (NCV),31-32,n_cluster7,CD79A,0.3723663404418992
Baysor (NCV),31-32,n_cluster7,IL7R,0.4750989517637336
Baysor (NCV),31-32,n_cluster7,MS4A1,0.3702308937547925
Baysor (NCV),31-32,n_cluster7,TRAC,0.4521950435077814
Baysor (NCV),33-34,n_cluster5,CD19,0.9108499525166192
Baysor (NCV),33-34,n_cluster5,CD3E,0.5895997638226983
Baysor (NCV),33-34,n_cluster5,CD79A,0.8099240265906933
Baysor (NCV),33-34,n_cluster5,IL7R,0.6339924952231866
Baysor (NCV),33-34,n_cluster5,MS4A1,0.854218712224998
Baysor (NCV),33-34,n_cluster5,TRAC,0.5620160101509581
Baysor (NCV),33-34,n_cluster6,CD19,0.8952991452991453
Baysor (NCV),33-34,n_cluster6,CD3E,0.5898949854497912
Baysor (NCV),33-34,n_cluster6,CD79A,0.7871320037986704
Baysor (NCV),33-34,n_cluster6,IL7R,0.6384124864752871
Baysor (NCV),33-34,n_cluster6,MS4A1,0.8338302844709485
Baysor (NCV),33-34,n_cluster6,TRAC,0.5640126140583307
Baysor (NCV),33-34,n_cluster7,CD19,0.7961775878442545
Baysor (NCV),33-34,n_cluster7,CD3E,0.5712538484247818
Baysor (NCV),33-34,n_cluster7,CD79A,0.6071699905033239
Baysor (NCV),33-34,n_cluster7,IL7R,0.6124680586569673
Baysor (NCV),33-34,n_cluster7,MS4A1,0.6882907567088403
Baysor (NCV),33-34,n_cluster7,TRAC,0.5466589539288313
Baysor (NCV),39-40,n_cluster5,CD19,0.9392160972542444
Baysor (NCV),39-40,n_cluster5,CD3E,0.603087515464472
Baysor (NCV),39-40,n_cluster5,CD79A,0.8542113934794547
Baysor (NCV),39-40,n_cluster5,IL7R,0.6198838087110644
Baysor (NCV),39-40,n_cluster5,MS4A1,0.9060479645702763
Baysor (NCV),39-40,n_cluster5,TRAC,0.5910610066344092
Baysor (NCV),39-40,n_cluster6,CD19,0.9133305386711381
Baysor (NCV),39-40,n_cluster6,CD3E,0.5405303641546985
Baysor (NCV),39-40,n_cluster6,CD79A,0.8013879874182436
Baysor (NCV),39-40,n_cluster6,IL7R,0.55440312469229
Baysor (NCV),39-40,n_cluster6,MS4A1,0.860930425670733
Baysor (NCV),39-40,n_cluster6,TRAC,0.5337706389983539
Baysor (NCV),39-40,n_cluster7,CD19,0.7130580591071054
Baysor (NCV),39-40,n_cluster7,CD3E,0.5387553117099672
Baysor (NCV),39-40,n_cluster7,CD79A,0.5419142243746567
Baysor (NCV),39-40,n_cluster7,IL7R,0.5526963599960613
Baysor (NCV),39-40,n_cluster7,MS4A1,0.5373574012930268
Baysor (NCV),39-40,n_cluster7,TRAC,0.5321245074075922
Baysor (NCV),41-42,n_cluster5,CD19,0.7537383177570094
Baysor (NCV),41-42,n_cluster5,CD3E,0.5018093556928508
Baysor (NCV),41-42,n_cluster5,CD79A,0.5939175887584006
Baysor (NCV),41-42,n_cluster5,IL7R,0.5147156507076798
Baysor (NCV),41-42,n_cluster5,MS4A1,0.6615873015873016
Baysor (NCV),41-42,n_cluster5,TRAC,0.4816798844922472
Baysor (NCV),41-42,n_cluster6,CD19,0.753582554517134
Baysor (NCV),41-42,n_cluster6,CD3E,0.5162400706090027
Baysor (NCV),41-42,n_cluster6,CD79A,0.5935781684882221
Baysor (NCV),41-42,n_cluster6,IL7R,0.5125696183128098
Baysor (NCV),41-42,n_cluster6,MS4A1,0.6606060606060606
Baysor (NCV),41-42,n_cluster6,TRAC,0.49655778526439137
Baysor (NCV),41-42,n_cluster7,CD19,0.7459501557632399
Baysor (NCV),41-42,n_cluster7,CD3E,0.4225066195939982
Baysor (NCV),41-42,n_cluster7,CD79A,0.587332835516937
Baysor (NCV),41-42,n_cluster7,IL7R,0.4213376935261356
Baysor (NCV),41-42,n_cluster7,MS4A1,0.6511688311688312
Baysor (NCV),41-42,n_cluster7,TRAC,0.40632781602460816
Baysor (NCV),43-44,n_cluster5,CD19,0.6847826086956522
Baysor (NCV),43-44,n_cluster5,CD3E,0.5514054891544932
Baysor (NCV),43-44,n_cluster5,CD79A,0.4742240006215765
Baysor (NCV),43-44,n_cluster5,IL7R,0.6096374045801527
Baysor (NCV),43-44,n_cluster5,MS4A1,0.5060499138028259
Baysor (NCV),43-44,n_cluster5,TRAC,0.5294145353492534
Baysor (NCV),43-44,n_cluster6,CD19,0.6813452248234857
Baysor (NCV),43-44,n_cluster6,CD3E,0.4675741478530323
Baysor (NCV),43-44,n_cluster6,CD79A,0.46971757118993046
Baysor (NCV),43-44,n_cluster6,IL7R,0.5279580152671756
Baysor (NCV),43-44,n_cluster6,MS4A1,0.500749190391029
Baysor (NCV),43-44,n_cluster6,TRAC,0.4505911167632236
Baysor (NCV),43-44,n_cluster7,CD19,0.6684318097361576
Baysor (NCV),43-44,n_cluster7,CD3E,0.47050686144311643
